,song,chanteur,genre,play,like,repost
425,Come Back,Loci Records,Triphop,"170,548 plays","4,264 likes",410 reposts
426,Start Shootin',little people,Triphop,"283,227 plays","4,255 likes",682 reposts
427,Baralku (Frameworks Remix),Emancipator,Triphop,"6,365 plays",214 likes,33 reposts
428,Nostalgic (Dustin Ngo x Mademoiselle),HAMMERHEAD,Triphop,"233,672 plays","4,190 likes",484 reposts
429,Erratic Patterns,Carbon Based Lifeforms,Triphop,"40,607 plays",813 likes,59 reposts
430,Best of Trip-Hop & Downtemp & Lo-Fi & Nujazz,S!X - Music,World,"955,185 plays","24,991 likes","1,545 reposts"
431,October 1st {Age},Slamhaus,World,"6,110 plays",75 likes,5 reposts
432,Coccolino Deep - Charlie,Coccolino Deep,World,"214,231 plays","4,990 likes",377 reposts
433,East River Soul (feat. Adam Stehr),Gramatik,World,"145,506 plays","2,120 likes",296 reposts
434,October 8th {Anger Scream},Slamhaus,World,"1,700 plays",28 likes,1 repost
435,"The Bridge (feat. Frameworks, Lapa & Tor)",Emancipator,World,"22,315 plays",598 likes,87 reposts
436,Oshun,Break Science,World,"1,937 plays",39 likes,2 reposts
437,Best Of Female Vocals - special edition Trip Hop Nation Friends mixed by Paul Cheeba,Trip Hop Nation,World,"204,396 plays","4,933 likes",433 reposts
438,September 10th {Window},Slamhaus,World,"7,567 plays",144 likes,5 reposts
439,,Buffering,World,"1,039 plays",18 likes,2 reposts
440,Come Back,Loci Records,World,"170,548 plays","4,264 likes",410 reposts
441,Start Shootin',little people,World,"283,228 plays","4,255 likes",682 reposts
442,Baralku (Frameworks Remix),Emancipator,World,"6,366 plays",214 likes,33 reposts
443,Nostalgic (Dustin Ngo x Mademoiselle),HAMMERHEAD,World,"233,673 plays","4,190 likes",484 reposts
444,Erratic Patterns,Carbon Based Lifeforms,World,"40,607 plays",813 likes,59 reposts
445,Best of Trip-Hop & Downtemp & Lo-Fi & Nujazz,S!X - Music,Audiobooks,"955,187 plays","24,991 likes","1,545 reposts"
446,October 1st {Age},Slamhaus,Audiobooks,"6,110 plays",75 likes,5 reposts
447,,Buffering,Audiobooks,"214,231 plays","4,990 likes",377 reposts
448,,Buffering,Audiobooks,"145,507 plays","2,120 likes",296 reposts
449,October 8th {Anger Scream},Slamhaus,Audiobooks,"1,701 plays",28 likes,1 repost
450,"The Bridge (feat. Frameworks, Lapa & Tor)",Emancipator,Audiobooks,"22,316 plays",598 likes,87 reposts
451,Oshun,Break Science,Audiobooks,"1,937 plays",39 likes,2 reposts
452,Best Of Female Vocals - special edition Trip Hop Nation Friends mixed by Paul Cheeba,Trip Hop Nation,Audiobooks,"204,398 plays","4,933 likes",433 reposts
453,September 10th {Window},Slamhaus,Audiobooks,"7,567 plays",144 likes,5 reposts
454,Anonymous Ink,Edamame,Audiobooks,"1,040 plays",18 likes,2 reposts
455,Come Back,Loci Records,Audiobooks,"170,548 plays","4,264 likes",410 reposts
456,Start Shootin',little people,Audiobooks,"283,228 plays","4,255 likes",682 reposts
457,Baralku (Frameworks Remix),Emancipator,Audiobooks,"6,367 plays",214 likes,33 reposts
458,Nostalgic (Dustin Ngo x Mademoiselle),HAMMERHEAD,Audiobooks,"233,674 plays","4,190 likes",484 reposts
459,Erratic Patterns,Carbon Based Lifeforms,Audiobooks,"40,607 plays",813 likes,59 reposts
460,,Buffering,Business,"955,189 plays","24,991 likes","1,545 reposts"
461,October 1st {Age},Slamhaus,Business,"6,111 plays",75 likes,5 reposts
462,Coccolino Deep - Charlie,Coccolino Deep,Business,"214,231 plays","4,990 likes",377 reposts
463,East River Soul (feat. Adam Stehr),Gramatik,Business,"145,509 plays","2,120 likes",296 reposts
464,October 8th {Anger Scream},Slamhaus,Business,"1,702 plays",28 likes,1 repost
465,"The Bridge (feat. Frameworks, Lapa & Tor)",Emancipator,Business,"22,317 plays",598 likes,87 reposts
466,Oshun,Break Science,Business,"1,938 plays",39 likes,2 reposts
467,,Buffering,Business,"204,398 plays","4,933 likes",433 reposts
468,September 10th {Window},Slamhaus,Business,"7,569 plays",144 likes,5 reposts
469,Anonymous Ink,Edamame,Business,"1,040 plays",18 likes,2 reposts
470,Come Back,Loci Records,Business,"170,548 plays","4,264 likes",410 reposts
471,Start Shootin',little people,Business,"283,229 plays","4,255 likes",682 reposts
472,Baralku (Frameworks Remix),Emancipator,Business,"6,368 plays",214 likes,33 reposts
473,Nostalgic (Dustin Ngo x Mademoiselle),HAMMERHEAD,Business,"233,674 plays","4,190 likes",484 reposts
474,Erratic Patterns,Carbon Based Lifeforms,Business,"40,607 plays",813 likes,59 reposts
475,Best of Trip-Hop & Downtemp & Lo-Fi & Nujazz,S!X - Music,Comedy,"955,196 plays","24,991 likes","1,545 reposts"
476,,Buffering,Comedy,"6,113 plays",75 likes,5 reposts
477,,Buffering,Comedy,"214,234 plays","4,990 likes",377 reposts
478,East River Soul (feat. Adam Stehr),Gramatik,Comedy,"145,510 plays","2,120 likes",296 reposts
479,October 8th {Anger Scream},Slamhaus,Comedy,"1,703 plays",28 likes,1 repost
480,"The Bridge (feat. Frameworks, Lapa & Tor)",Emancipator,Comedy,"22,317 plays",598 likes,87 reposts
481,Oshun,Break Science,Comedy,"1,939 plays",39 likes,2 reposts
482,Best Of Female Vocals - special edition Trip Hop Nation Friends mixed by Paul Cheeba,Trip Hop Nation,Comedy,"204,399 plays","4,933 likes",433 reposts
483,,Buffering,Comedy,"7,570 plays",144 likes,5 reposts
484,Anonymous Ink,Edamame,Comedy,"1,042 plays",18 likes,2 reposts
485,Come Back,Loci Records,Comedy,"170,549 plays","4,264 likes",410 reposts
486,Start Shootin',little people,Comedy,"283,230 plays","4,255 likes",682 reposts
487,Baralku (Frameworks Remix),Emancipator,Comedy,"6,368 plays",214 likes,33 reposts
488,Nostalgic (Dustin Ngo x Mademoiselle),HAMMERHEAD,Comedy,"233,674 plays","4,190 likes",484 reposts
489,Erratic Patterns,Carbon Based Lifeforms,Comedy,"40,608 plays",813 likes,59 reposts
490,Best of Trip-Hop & Downtemp & Lo-Fi & Nujazz,S!X - Music,Entertainment,"955,200 plays","24,991 likes","1,545 reposts"
491,October 1st {Age},Slamhaus,Entertainment,"6,117 plays",75 likes,5 reposts
492,Coccolino Deep - Charlie,Coccolino Deep,Entertainment,"214,237 plays","4,990 likes",377 reposts
493,East River Soul (feat. Adam Stehr),Gramatik,Entertainment,"145,510 plays","2,120 likes",296 reposts
494,October 8th {Anger Scream},Slamhaus,Entertainment,"1,704 plays",28 likes,1 repost
495,"The Bridge (feat. Frameworks, Lapa & Tor)",Emancipator,Entertainment,"22,317 plays",598 likes,87 reposts
496,Oshun,Break Science,Entertainment,"1,939 plays",39 likes,2 reposts
497,Best Of Female Vocals - special edition Trip Hop Nation Friends mixed by Paul Cheeba,Trip Hop Nation,Entertainment,"204,399 plays","4,933 likes",433 reposts
498,September 10th {Window},Slamhaus,Entertainment,"7,572 plays",144 likes,5 reposts
499,Anonymous Ink,Edamame,Entertainment,"1,042 plays",18 likes,2 reposts
500,Come Back,Loci Records,Entertainment,"170,549 plays","4,264 likes",410 reposts
501,Start Shootin',little people,Entertainment,"283,230 plays","4,255 likes",682 reposts
502,Baralku (Frameworks Remix),Emancipator,Entertainment,"6,368 plays",214 likes,33 reposts
503,,Buffering,Entertainment,"233,675 plays","4,190 likes",484 reposts
504,Lost But Won,LifeLeveler,Learning,"1,404,479 plays","19,205 likes",820 reposts
505,"TTMIK Level 1 Lesson 1 - Hello, Thank you",TalkToMeInKorean,Learning,"910,360 plays","6,159 likes",241 reposts
506,Ryo Fukaura: Liszt - Hungarian Rhapsody No.2,UCL,Learning,"336,856 plays","5,177 likes",322 reposts
507,,Buffering,Learning,"2,571 plays",96 likes,2 reposts
508,Simon Sinek: The Power of the Infinite Mindset,Lewis Howes,Learning,"445,202 followers",869 tracks,277 plays
509,?????? ???? ?? ???? ??????? (????? ???? ??????????),5 In The Afternoon |  ??? ??? ?? ?????? ?????,Learning,"180,362 plays","2,028 likes",308 reposts
510,1,LinguaLeo,Learning,"70,033 plays",18 likes,1 repost
511,26609,LinguaLeo,Learning,"669,133 plays",102 likes,27 reposts
512,30771,LinguaLeo,Learning,"651,132 plays",52 likes,35 reposts
513,"TTMIK Level 1 Lesson 2 - Yes, No, What",TalkToMeInKorean,Learning,"365,769 plays","2,817 likes",123 reposts
514,26604,LinguaLeo,Learning,"570,008 plays",38 likes,18 reposts
515,30769,LinguaLeo,Learning,"651,876 plays",60 likes,26 reposts
516,"TTMIK Level 1 Lesson 3 - Good-bye, See you",TalkToMeInKorean,Learning,"294,201 plays","1,793 likes",52 reposts
517,30768,LinguaLeo,Learning,"349,161 plays",39 likes,25 reposts
518,,Buffering,Learning,"313,885 plays","1,774 likes",53 reposts
519,Lost But Won,LifeLeveler,News & Politics,"1,404,479 plays","19,205 likes",820 reposts
520,,Buffering,News & Politics,"910,360 plays","6,159 likes",241 reposts
521,Ryo Fukaura: Liszt - Hungarian Rhapsody No.2,UCL,News & Politics,"336,857 plays","5,177 likes",322 reposts
522,"Thomas Tidlund, ""Stop Stopping & Start Starting""","ENVP, Donna Johnson",News & Politics,"2,572 plays",96 likes,2 reposts
523,,Buffering,News & Politics,"445,202 followers",869 tracks,277 plays
524,?????? ???? ?? ???? ??????? (????? ???? ??????????),5 In The Afternoon |  ??? ??? ?? ?????? ?????,News & Politics,"180,364 plays","2,028 likes",308 reposts
525,1,LinguaLeo,News & Politics,"70,034 plays",18 likes,1 repost
526,26609,LinguaLeo,News & Politics,"669,133 plays",102 likes,27 reposts
527,30771,LinguaLeo,News & Politics,"651,136 plays",52 likes,35 reposts
528,"TTMIK Level 1 Lesson 2 - Yes, No, What",TalkToMeInKorean,News & Politics,"365,769 plays","2,817 likes",123 reposts
529,26604,LinguaLeo,News & Politics,"570,009 plays",38 likes,18 reposts
530,30769,LinguaLeo,News & Politics,"651,877 plays",60 likes,26 reposts
531,"TTMIK Level 1 Lesson 3 - Good-bye, See you",TalkToMeInKorean,News & Politics,"294,202 plays","1,793 likes",52 reposts
532,30768,LinguaLeo,News & Politics,"349,161 plays",39 likes,25 reposts
533,"TTMIK Level 1 Lesson 4 - I'm sorry, Excuse me",TalkToMeInKorean,News & Politics,"313,887 plays","1,774 likes",53 reposts
534,Lost But Won,LifeLeveler,Religion & Spirituality,"1,404,480 plays","19,205 likes",820 reposts
535,"TTMIK Level 1 Lesson 1 - Hello, Thank you",TalkToMeInKorean,Religion & Spirituality,"910,364 plays","6,159 likes",241 reposts
536,Ryo Fukaura: Liszt - Hungarian Rhapsody No.2,UCL,Religion & Spirituality,"336,857 plays","5,177 likes",322 reposts
537,,Buffering,Religion & Spirituality,"2,572 plays",96 likes,2 reposts
538,,Buffering,Religion & Spirituality,"445,202 followers",869 tracks,277 plays
539,?????? ???? ?? ???? ??????? (????? ???? ??????????),5 In The Afternoon |  ??? ??? ?? ?????? ?????,Religion & Spirituality,"180,368 plays","2,028 likes",308 reposts
540,1,LinguaLeo,Religion & Spirituality,"70,036 plays",18 likes,1 repost
541,26609,LinguaLeo,Religion & Spirituality,"669,135 plays",102 likes,27 reposts
542,30771,LinguaLeo,Religion & Spirituality,"651,137 plays",52 likes,35 reposts
543,"TTMIK Level 1 Lesson 2 - Yes, No, What",TalkToMeInKorean,Religion & Spirituality,"365,769 plays","2,817 likes",123 reposts
544,26604,LinguaLeo,Religion & Spirituality,"570,010 plays",38 likes,18 reposts
545,30769,LinguaLeo,Religion & Spirituality,"651,878 plays",60 likes,26 reposts
546,"TTMIK Level 1 Lesson 3 - Good-bye, See you",TalkToMeInKorean,Religion & Spirituality,"294,204 plays","1,793 likes",52 reposts
547,30768,LinguaLeo,Religion & Spirituality,"349,162 plays",39 likes,25 reposts
548,"TTMIK Level 1 Lesson 4 - I'm sorry, Excuse me",TalkToMeInKorean,Religion & Spirituality,"313,887 plays","1,774 likes",53 reposts
549,Lost But Won,LifeLeveler,Science,"1,404,481 plays","19,205 likes",820 reposts
550,"TTMIK Level 1 Lesson 1 - Hello, Thank you",TalkToMeInKorean,Science,"910,365 plays","6,159 likes",241 reposts
551,,Buffering,Science,"336,857 plays","5,177 likes",322 reposts
552,,Buffering,Science,"2,573 plays",96 likes,2 reposts
553,Simon Sinek: The Power of the Infinite Mindset,Lewis Howes,Science,"445,202 followers",869 tracks,277 plays
554,?????? ???? ?? ???? ??????? (????? ???? ??????????),5 In The Afternoon |  ??? ??? ?? ?????? ?????,Science,"180,370 plays","2,028 likes",308 reposts
555,1,LinguaLeo,Science,"70,036 plays",18 likes,1 repost
556,26609,LinguaLeo,Science,"669,135 plays",102 likes,27 reposts
557,30771,LinguaLeo,Science,"651,141 plays",52 likes,35 reposts
558,"TTMIK Level 1 Lesson 2 - Yes, No, What",TalkToMeInKorean,Science,"365,769 plays","2,817 likes",123 reposts
559,26604,LinguaLeo,Science,"570,011 plays",38 likes,18 reposts
560,30769,LinguaLeo,Science,"651,879 plays",60 likes,26 reposts
561,"TTMIK Level 1 Lesson 3 - Good-bye, See you",TalkToMeInKorean,Science,"294,204 plays","1,793 likes",52 reposts
562,30768,LinguaLeo,Science,"349,164 plays",39 likes,25 reposts
563,"TTMIK Level 1 Lesson 4 - I'm sorry, Excuse me",TalkToMeInKorean,Science,"313,887 plays","1,774 likes",53 reposts
564,Lost But Won,LifeLeveler,Sports,"1,404,488 plays","19,205 likes",820 reposts
565,,Buffering,Sports,"910,368 plays","6,159 likes",241 reposts
566,Ryo Fukaura: Liszt - Hungarian Rhapsody No.2,UCL,Sports,"336,860 plays","5,177 likes",322 reposts
567,"Thomas Tidlund, ""Stop Stopping & Start Starting""","ENVP, Donna Johnson",Sports,"2,573 plays",96 likes,2 reposts
568,Simon Sinek: The Power of the Infinite Mindset,Lewis Howes,Sports,"445,202 followers",869 tracks,278 plays
569,?????? ???? ?? ???? ??????? (????? ???? ??????????),5 In The Afternoon |  ??? ??? ?? ?????? ?????,Sports,"180,371 plays","2,028 likes",308 reposts
570,1,LinguaLeo,Sports,"70,039 plays",18 likes,1 repost
571,26609,LinguaLeo,Sports,"669,138 plays",102 likes,27 reposts
572,30771,LinguaLeo,Sports,"651,142 plays",52 likes,35 reposts
573,"TTMIK Level 1 Lesson 2 - Yes, No, What",TalkToMeInKorean,Sports,"365,769 plays","2,817 likes",123 reposts
574,26604,LinguaLeo,Sports,"570,012 plays",38 likes,18 reposts
575,30769,LinguaLeo,Sports,"651,880 plays",60 likes,26 reposts
576,"TTMIK Level 1 Lesson 3 - Good-bye, See you",TalkToMeInKorean,Sports,"294,205 plays","1,793 likes",52 reposts
577,30768,LinguaLeo,Sports,"349,164 plays",39 likes,25 reposts
578,"TTMIK Level 1 Lesson 4 - I'm sorry, Excuse me",TalkToMeInKorean,Sports,"313,888 plays","1,774 likes",53 reposts
579,Lost But Won,LifeLeveler,Storytelling,"1,404,491 plays","19,205 likes",820 reposts
580,"TTMIK Level 1 Lesson 1 - Hello, Thank you",TalkToMeInKorean,Storytelling,"910,372 plays","6,159 likes",241 reposts
581,Ryo Fukaura: Liszt - Hungarian Rhapsody No.2,UCL,Storytelling,"336,861 plays","5,177 likes",322 reposts
582,"Thomas Tidlund, ""Stop Stopping & Start Starting""","ENVP, Donna Johnson",Storytelling,"2,573 plays",96 likes,2 reposts
583,Simon Sinek: The Power of the Infinite Mindset,Lewis Howes,Storytelling,"445,202 followers",869 tracks,278 plays
584,?????? ???? ?? ???? ??????? (????? ???? ??????????),5 In The Afternoon |  ??? ??? ?? ?????? ?????,Storytelling,"180,376 plays","2,028 likes",308 reposts
585,1,LinguaLeo,Storytelling,"70,040 plays",18 likes,1 repost
586,26609,LinguaLeo,Storytelling,"669,139 plays",102 likes,27 reposts
587,30771,LinguaLeo,Storytelling,"651,142 plays",52 likes,35 reposts
588,,Buffering,Storytelling,"365,772 plays","2,817 likes",123 reposts
589,26604,LinguaLeo,Storytelling,"570,012 plays",38 likes,18 reposts
590,30769,LinguaLeo,Storytelling,"651,881 plays",60 likes,26 reposts
591,"TTMIK Level 1 Lesson 3 - Good-bye, See you",TalkToMeInKorean,Storytelling,"294,205 plays","1,793 likes",52 reposts
592,30768,LinguaLeo,Storytelling,"349,165 plays",39 likes,25 reposts
593,"TTMIK Level 1 Lesson 4 - I'm sorry, Excuse me",TalkToMeInKorean,Storytelling,"313,888 plays","1,774 likes",53 reposts
594,Lost But Won,LifeLeveler,Technology,"1,404,494 plays","19,205 likes",820 reposts
595,,Buffering,Technology,"910,372 plays","6,159 likes",241 reposts
596,Ryo Fukaura: Liszt - Hungarian Rhapsody No.2,UCL,Technology,"336,863 plays","5,177 likes",322 reposts
597,"Thomas Tidlund, ""Stop Stopping & Start Starting""","ENVP, Donna Johnson",Technology,"2,573 plays",96 likes,2 reposts
598,Simon Sinek: The Power of the Infinite Mindset,Lewis Howes,Technology,"445,202 followers",869 tracks,278 plays
599,?????? ???? ?? ???? ??????? (????? ???? ??????????),5 In The Afternoon |  ??? ??? ?? ?????? ?????,Technology,"180,377 plays","2,028 likes",308 reposts
600,1,LinguaLeo,Technology,"70,045 plays",18 likes,1 repost
601,26609,LinguaLeo,Technology,"669,140 plays",102 likes,27 reposts
602,30771,LinguaLeo,Technology,"651,143 plays",52 likes,35 reposts
603,"TTMIK Level 1 Lesson 2 - Yes, No, What",TalkToMeInKorean,Technology,"365,774 plays","2,817 likes",123 reposts
604,26604,LinguaLeo,Technology,"570,015 plays",38 likes,18 reposts
605,30769,LinguaLeo,Technology,"651,882 plays",60 likes,26 reposts
606,"TTMIK Level 1 Lesson 3 - Good-bye, See you",TalkToMeInKorean,Technology,"294,205 plays","1,793 likes",52 reposts
607,,Buffering,Technology,"349,165 plays",39 likes,25 reposts
608,"TTMIK Level 1 Lesson 4 - I'm sorry, Excuse me",TalkToMeInKorean,Technology,"313,888 plays","1,774 likes",53 reposts
